freqs,I,Q
7330000000.0,0.712386805130968,0.695802835799769
7331000000.0,0.7126145729199713,0.6955738341549667
7332000000.0,0.7128422687230378,0.6953447560932112
7333000000.0,0.713069892513798,0.6951156016346131
7334000000.0,0.7132974442658893,0.6948863707992886
7335000000.0,0.7135249239529531,0.6946570636073607
7336000000.0,0.7137523315486399,0.6944276800789572
7337000000.0,0.7139796670266043,0.6941982202342122
7338000000.0,0.7142069303605093,0.6939686840932661
7339000000.0,0.7144341215240225,0.6937390716762646
7340000000.0,0.7146612404908189,0.6935093830033595
7341000000.0,0.7148882872345801,0.6932796180947084
7342000000.0,0.7151152617289932,0.6930497769704745
7343000000.0,0.7153421639477529,0.6928198596508269
7344000000.0,0.7155689938645592,0.6925898661559403
7345000000.0,0.715795751453119,0.6923597965059958
7346000000.0,0.7160224366871473,0.6921296507211787
7347000000.0,0.716249049540363,0.6918994288216817
7348000000.0,0.716475589986493,0.691669130827702
7349000000.0,0.7167020579992702,0.6914387567594428
7350000000.0,0.7169284535524346,0.691208306637113
7351000000.0,0.7171547766197329,0.6909777804809268
7352000000.0,0.7173810271749173,0.690747178311104
7353000000.0,0.7176072051917479,0.6905165001478707
7354000000.0,0.7178333106439905,0.6902857460114571
7355000000.0,0.718059343505418,0.6900549159221
7356000000.0,0.7182853037498098,0.6898240099000416
7357000000.0,0.718511191350952,0.6895930279655288
7358000000.0,0.7187370062826374,0.6893619701388148
7359000000.0,0.7189627485186659,0.6891308364401573
7360000000.0,0.7191884180328433,0.6888996268898204
7361000000.0,0.7194140147989828,0.6886683415080723
7362000000.0,0.7196395387909041,0.6884369803151879
7363000000.0,0.719864989982434,0.6882055433314462
7364000000.0,0.7200903683474046,0.6879740305771324
7365000000.0,0.7203156738596579,0.6877424420725359
7366000000.0,0.7205409064930394,0.6875107778379523
7367000000.0,0.7207660662214032,0.687279037893682
7368000000.0,0.72099115301861,0.6870472222600307
7369000000.0,0.7212161668585276,0.686815330957309
7370000000.0,0.7214411077150301,0.6865833640058325
7371000000.0,0.7216659755619985,0.6863513214259228
7372000000.0,0.7218907703733214,0.6861192032379052
7373000000.0,0.7221154921228944,0.685887009462111
7374000000.0,0.722340140784619,0.6856547401188762
7375000000.0,0.7225647163324045,0.6854223952285416
7376000000.0,0.7227892187401669,0.6851899748114533
7377000000.0,0.7230136479818294,0.6849574788879624
7378000000.0,0.7232380040313222,0.6847249074784245
7379000000.0,0.7234622868625826,0.6844922606032003
7380000000.0,0.7236864964495549,0.6842595382826552
7381000000.0,0.7239106327661898,0.6840267405371594
7382000000.0,0.7241346957864467,0.6837938673870886
7383000000.0,0.7243586854842909,0.683560918852822
7384000000.0,0.7245826018336943,0.6833278949547447
7385000000.0,0.7248064448086381,0.6830947957132455
7386000000.0,0.7250302143831087,0.6828616211487186
7387000000.0,0.7252539105311002,0.6826283712815625
7388000000.0,0.7254775332266142,0.6823950461321803
7389000000.0,0.7257010824436597,0.6821616457209804
7390000000.0,0.7259245581562523,0.6819281700683743
7391000000.0,0.7261479603384157,0.6816946191947792
7392000000.0,0.7263712889641797,0.681460993120617
7393000000.0,0.7265945440075832,0.6812272918663128
7394000000.0,0.7268177254426702,0.6809935154522974
7395000000.0,0.7270408332434939,0.6807596638990047
7396000000.0,0.7272638673841143,0.6805257372268744
7397000000.0,0.7274868278385979,0.6802917354563498
7398000000.0,0.7277097145810204,0.6800576586078784
7399000000.0,0.7279325275854632,0.6798235067019119
7400000000.0,0.7281552668260163,0.6795892797589067
7401000000.0,0.7283779322767764,0.6793549777993233
7402000000.0,0.7286005239118484,0.6791206008436265
7403000000.0,0.7288230417053438,0.6788861489122842
7404000000.0,0.7290454856313827,0.6786516220257699
7405000000.0,0.7292678556640922,0.6784170202045602
7406000000.0,0.7294901517776065,0.6781823434691363
7407000000.0,0.7297123739460684,0.677947591839983
7408000000.0,0.7299345221436272,0.677712765337589
7409000000.0,0.7301565963444412,0.6774778639824478
7410000000.0,0.7303785965226746,0.6772428877950559
7411000000.0,0.7306005226525012,0.6770078367959134
7412000000.0,0.7308223747081011,0.6767727110055255
7413000000.0,0.7310441526636627,0.6765375104444002
7414000000.0,0.731265856493382,0.6763022351330495
7415000000.0,0.7314874861714628,0.6760668850919895
7416000000.0,0.7317090416721163,0.6758314603417396
7417000000.0,0.7319305229695624,0.6755959609028227
7418000000.0,0.732151930038028,0.6753603867957662
7419000000.0,0.7323732628517483,0.6751247380410996
7420000000.0,0.7325945213849661,0.6748890146593576
7421000000.0,0.7328157056119318,0.6746532166710776
7422000000.0,0.7330368155069048,0.6744173440968001
7423000000.0,0.7332578510441512,0.67418139695707
7424000000.0,0.7334788121979463,0.6739453752724344
7425000000.0,0.7336996989425723,0.6737092790634448
7426000000.0,0.7339205112523196,0.6734731083506558
7427000000.0,0.7341412491014873,0.6732368631546249
7428000000.0,0.7343619124643819,0.6730005434959134
7429000000.0,0.7345825013153182,0.6727641493950852
7430000000.0,0.7348030156286189,0.6725276808727079
7431000000.0,0.7350234553786152,0.6722911379493519
7432000000.0,0.7352438205396463,0.6720545206455907
7433000000.0,0.7354641110860592,0.6718178289820013
7434000000.0,0.73568432699221,0.6715810629791629
7435000000.0,0.7359044682324616,0.6713442226576585
7436000000.0,0.7361245347811863,0.6711073080380741
7437000000.0,0.7363445266127651,0.6708703191409969
7438000000.0,0.7365644437015858,0.6706332559870192
7439000000.0,0.7367842860220456,0.6703961185967346
7440000000.0,0.737004053548549,0.6701589069907402
7441000000.0,0.7372237462555106,0.6699216211896355
7442000000.0,0.7374433641173518,0.6696842612140227
7443000000.0,0.737662907108503,0.6694468270845068
7444000000.0,0.7378823752034029,0.6692093188216951
7445000000.0,0.7381017683764992,0.6689717364461977
7446000000.0,0.7383210866022475,0.6687340799786272
7447000000.0,0.7385403298551123,0.6684963494395985
7448000000.0,0.7387594981095656,0.6682585448497292
7449000000.0,0.73897859134009,0.6680206662296387
7450000000.0,0.7391976095211751,0.6677827135999489
7451000000.0,0.7394165526273192,0.6675446869812846
7452000000.0,0.7396354206330302,0.667306586394272
7453000000.0,0.7398542135128237,0.6670684118595404
7454000000.0,0.7400729312412244,0.6668301633977199
7455000000.0,0.7402915737927659,0.6665918410294441
7456000000.0,0.7405101411419902,0.6663534447753479
7457000000.0,0.7407286332634486,0.666114974656068
