,S11,S21,S31,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31,Real(S21),Imag(S21)
4.01,(-0.150963403693529-0.04359884190069574j),(-0.2628635888814312+0.9519516140865928j),(-0.0001926070515718898-0.0001150738352928651j),-16.074646929204,-0.10857704967499297,-72.98091414003432,-163.8910685220871,105.43649256954615,-149.14362899395965,-0.2628635888814312,0.9519516140865928
4.011,(-0.1509880869891951-0.04355340213871704j),(-0.2625575653317634+0.9520342289888988j),(-0.000194002593983858-0.0001158428987824972j),-16.07403258117114,-0.10859260650933306,-72.91948248336288,-163.90948272963922,105.4181028335789,-149.15771467443068,-0.2625575653317634,0.9520342289888988
4.012,(-0.1510127543977079-0.0435079407833521j),(-0.262251502524432+0.952116749866184j),(-0.0001954167645604349-0.0001166221608536948j),-16.07341855376552,-0.10860815754423707,-72.85767168550223,-163.92790029199986,105.39971228639332,-149.17180179050936,-0.262251502524432,0.952116749866184
4.013,(-0.151037406213256-0.04346245773234979j),(-0.2619454001827615+0.952199176737081j),(-0.0001968499372305597-0.0001174118260050598j),-16.07280483217953,-0.10862370315336516,-72.7954767007764,-163.94632127760195,105.38132091036411,-149.18589037586733,-0.2619454001827615,0.952199176737081
4.014,(-0.1510620427382333-0.0434169528801638j),(-0.2616392580218961+0.952281509620865j),(-0.000198302495996704-0.0001182121042397967j),-16.072191401210972,-0.10863924372063695,-72.73289238193514,-163.96474575671797,105.36292868739469,-149.19998046507698,-0.2616392580218961,0.952281509620865
4.015,(-0.1510866642835173-0.04337142611784051j),(-0.261333075748513+0.9523637485374798j),(-0.000199774835276401-0.000119023211252186j),-16.071578245249643,-0.10865477964057534,-72.66991347740829,-163.9831738015222,105.3445355989006,-149.2140720936421,-0.261333075748513,0.9523637485374798
4.016,(-0.151111271168758-0.04332587733290262j),(-0.2610268530605325+0.9524458935075519j),(-0.0002012673602577566-0.0001198453686216859j),-16.07096534826342,-0.1086703113187392,-72.6065346284672,-164.00160548615582,105.32614162579303,-149.22816529802984,-0.2610268530605325,0.9524458935075519
4.017,(-0.1511358637226788-0.04328030640922738j),(-0.2607205896468253+0.9525279445524212j),(-0.0002027804872696121-0.0001206788040150269j),-16.07035269378376,-0.1086858391720173,-72.54275036628944,-164.02004088679425,105.30774674846164,-149.24226011570346,-0.2607205896468253,0.9525279445524212
4.018,(-0.1511604422833898-0.04323471322692057j),(-0.2604142851868934+0.9526099016941623j),(-0.0002043146441670904-0.000121523751396698j),-16.069740264890605,-0.10870136362906302,-72.47855510892165,-164.03848008171752,105.28935094675643,-149.25635658515694,-0.2604142851868934,0.9526099016941623
4.019,(-0.1511850071987149-0.04318909766218475j),(-0.2601079393505448+0.9526917649556106j),(-0.0002058702707332713-0.0001223804512482311j),-16.069128044196606,-0.10871688513069676,-72.41394315813682,-164.0569231513836,105.27095419996886,-149.27045474595104,-0.2601079393505448,0.9526917649556106
4.02,(-0.1512095588265312-0.04314345958718129j),(-0.2598015517975537+0.9527735343603885j),(-0.0002074478190977608-0.0001232491507967008j),-16.06851601383081,-0.10873240413033079,-72.34890869618246,-164.0753701785048,105.25255648681231,-149.2845546387505,-0.2598015517975537,0.9527735343603885
4.021,(-0.1512340975351247-0.04309779886988792j),(-0.2594951221773057+0.9528552099329316j),(-0.000209047754173031-0.0001241301042529164j),-16.06790415542148,-0.10874792109442827,-72.28344578241358,-164.09382124812748,105.23415778540168,-149.2986563053631,-0.2594951221773057,0.9528552099329316
4.022,(-0.1512586237035596-0.04305211537394949j),(-0.2591886501284316+0.9529367916985215j),(-0.0002106705541093847-0.0001250235730597732j),-16.067292450078327,-0.1087634365029243,-72.21754834980655,-164.11227644771466,105.21575807323218,-149.31275978878028,-0.2591886501284316,0.9529367916985215
4.023,(-0.1512831377220641-0.04300640895852198j),(-0.2588821352784144+0.9530182796833095j),(-0.0002123167107694902-0.0001259298261512761j),-16.066680878373912,-0.1087789508497816,-72.15121020134872,-164.13073586723303,105.19735732715685,-149.32686513321963,-0.2588821352784144,0.9530182796833095
4.024,(-0.151307639992433-0.04296067947810989j),(-0.2585755772431941+0.9530996739143515j),(-0.0002139867302234992-0.0001268491402227901j),-16.066069420324254,-0.10879446464344569,-72.08442500629705,-164.14919959924316,105.17895552336364,-149.34097238416913,-0.2585755772431941,0.9530996739143515
4.025,(-0.1513321309284477-0.04291492678239762j),(-0.2582689756267446+0.9531809744196411j),(-0.0002156811332657297-0.0001277818000130496j),-16.0654580553686,-0.10880997840737332,-72.01718629630315,-164.1676677389936,105.16055263735116,-149.35508158843325,-0.2582689756267446,0.9531809744196411
