,S11,S21,S31
5.38,(-0.1262387318024304+0.0405644069497316j),(0.1662107197712596+0.9771384246641335j),(9.641583003309157e-05+1.28811426221062e-05j)
5.381,(-0.1262160544968366+0.04060705136498888j),(0.1665245140583163+0.977086183253779j),(9.639102995788702e-05+1.285233116680486e-05j)
5.382,(-0.1261933491257281+0.0406496816969683j),(0.16683829310408+0.9770338426840609j),(9.636632631294177e-05+1.282354731402847e-05j)
5.383,(-0.1261706156982109+0.04069229792736224j),(0.1671520568790097+0.9769814029580085j),(9.634171888870026e-05+1.279479095551392e-05j)
5.384,(-0.1261478542234017+0.04073490003786844j),(0.1674658053535612+0.9769288640786576j),(9.631720747871936e-05+1.2766061981524e-05j)
5.385,(-0.1261250647104282+0.04077748801018927j),(0.1677795384981879+0.9768762260490523j),(9.629279187449335e-05+1.273736028473009e-05j)
5.386,(-0.1261022471684292+0.04082006182603257j),(0.1680932562833403+0.9768234888722439j),(9.626847187250246e-05+1.270868575460257e-05j)
5.387,(-0.1260794016065543+0.04086262146711139j),(0.168406958679468+0.9767706525512917j),(9.62442472663024e-05+1.26800382848921e-05j)
5.388,(-0.1260565280339643+0.04090516691514354j),(0.1687206456570164+0.9767177170892624j),(9.622011785271164e-05+1.265141776747961e-05j)
5.389,(-0.1260336264598308+0.04094769815185279j),(0.1690343171864305+0.9766646824892307j),(9.619608342807131e-05+1.262282409482235e-05j)
5.39,(-0.1260106968933364+0.04099021515896719j),(0.1693479732381524+0.9766115487542787j),(9.617214378867625e-05+1.259425716114306e-05j)
5.391,(-0.1259877393436747+0.0410327179182205j),(0.169661613782621+0.9765583158874956j),(9.614829873495419e-05+1.256571685836131e-05j)
5.392,(-0.1259647538200503+0.04107520641135143j),(0.1699752387902743+0.9765049838919799j),(9.612454806484034e-05+1.253720308077511e-05j)
5.393,(-0.1259417403316788+0.04111768062010427j),(0.1702888482315467+0.9764515527708363j),(9.6100891577523e-05+1.250871572311755e-05j)
5.394,(-0.1259186988877866+0.04116014052622807j),(0.1706024420768709+0.9763980225271774j),(9.607732907560816e-05+1.248025467875447e-05j)
5.395,(-0.1258956294976114+0.04120258611147731j),(0.1709160202966777+0.9763443931641244j),(9.605386035935377e-05+1.245181984310893e-05j)
5.396,(-0.1258725321704015+0.04124501735761171j),(0.1712295828613954+0.976290664684805j),(9.603048523128396e-05+1.242341111081388e-05j)
5.397,(-0.1258494069154165+0.04128743424639637j),(0.1715431297414497+0.9762368370923553j),(9.600720349503735e-05+1.239502837740701e-05j)
5.398,(-0.1258262537419266+0.04132983675960123j),(0.1718566609072645+0.9761829103899193j),(9.598401495435776e-05+1.236667153799656e-05j)
5.399,(-0.1258030726592134+0.04137222487900171j),(0.1721701763292614+0.9761288845806482j),(9.596091941367208e-05+1.233834048993224e-05j)
5.4,(-0.1257798636765691+0.04141459858637862j),(0.172483675977859+0.9760747596677011j),(9.593791667736853e-05+1.231003512894413e-05j)
5.401,(-0.125756626803297+0.04145695786351782j),(0.1727971598234744+0.9760205356542446j),(9.591500655369797e-05+1.228175535123548e-05j)
5.402,(-0.1257333620487115+0.04149930269221055j),(0.1731106278365225+0.9759662125434536j),(9.589218884870883e-05+1.225350105420612e-05j)
5.403,(-0.1257100694221377+0.04154163305425341j),(0.1734240799874162+0.9759117903385104j),(9.586946337014717e-05+1.222527213482749e-05j)
5.404,(-0.1256867489329119+0.04158394893144812j),(0.1737375162465648+0.9758572690426048j),(9.58468299268806e-05+1.21970684914858e-05j)
5.405,(-0.1256634005903814+0.04162625030560187j),(0.1740509365843773+0.9758026486589351j),(9.582428832846578e-05+1.216889002069314e-05j)
5.406,(-0.1256400244039042+0.04166853715852699j),(0.1743643409712588+0.9757479291907062j),(9.580183838428105e-05+1.214073662243838e-05j)
5.407,(-0.1256166203828494+0.04171080947204125j),(0.1746777293776128+0.9756931106411318j),(9.577947990540749e-05+1.211260819382378e-05j)
5.408,(-0.1255931885365971+0.04175306722796775j),(0.1749911017738414+0.9756381930134331j),(9.575721270332842e-05+1.208450463456215e-05j)
5.409,(-0.1255697288745383+0.04179531040813476j),(0.1753044581303435+0.9755831763108388j),(9.573503659065374e-05+1.205642584397566e-05j)
5.41,(-0.125546241406075+0.04183753899437618j),(0.175617798417516+0.9755280605365854j),(9.571295138097645e-05+1.202837172016234e-05j)
5.411,(-0.12552272614062+0.04187975296853091j),(0.175931122605754+0.9754728456939176j),(9.569095688800476e-05+1.200034216401497e-05j)
5.412,(-0.1254991830875974+0.04192195231244362j),(0.1762444306654499+0.9754175317860873j),(9.56690529249824e-05+1.197233707581917e-05j)
5.413,(-0.1254756122564419+0.04196413700796395j),(0.176557722566994+0.9753621188163542j),(9.564723930845681e-05+1.194435635488989e-05j)
5.414,(-0.1254520136565994+0.04200630703694717j),(0.1768709982807744+0.9753066067879868j),(9.562551585465861e-05+1.191639990312282e-05j)
5.415,(-0.1254283872975265+0.0420484623812537j),(0.1771842577771783+0.9752509957042602j),(9.560388238037138e-05+1.188846762053774e-05j)
5.416,(-0.125404733188691+0.04209060302274969j),(0.1774975010265884+0.9751952855684579j),(9.558233870191648e-05+1.186055940908433e-05j)
5.417,(-0.1253810513395716+0.04213272894330631j),(0.177810727999387+0.975139476383871j),(9.556088463834528e-05+1.183267516981479e-05j)
5.418,(-0.1253573417596578+0.04217484012480049j),(0.1781239386659542+0.9750835681537986j),(9.553952000926524e-05+1.180481480473346e-05j)
5.419,(-0.1253336044584502+0.04221693654911431j),(0.1784371329966668+0.9750275608815476j),(9.55182446341145e-05+1.177697821596312e-05j)
5.42,(-0.1253098394454604+0.04225901819813533j),(0.1787503109618998+0.9749714545704323j),(9.549705833245217e-05+1.174916530610827e-05j)
5.421,(-0.1252860467302106+0.04230108505375657j),(0.1790634725320271+0.9749152492237754j),(9.547596092599244e-05+1.17213759783646e-05j)
5.422,(-0.1252622263222344+0.04234313709787655j),(0.17937661767742+0.9748589448449073j),(9.54549522365725e-05+1.169361013452166e-05j)
5.423,(-0.1252383782310761+0.04238517431239926j),(0.1796897463684467+0.9748025414371659j),(9.543403208644383e-05+1.166586767870389e-05j)
5.424,(-0.1252145024662908+0.04242719667923388j),(0.1800028585754746+0.9747460390038974j),(9.541320029958096e-05+1.163814851450206e-05j)
5.425,(-0.1251905990374448+0.04246920418029528j),(0.180315954268868+0.9746894375484559j),(9.539245669906603e-05+1.161045254580891e-05j)
5.426,(-0.1251666679541155+0.04251119679750392j),(0.1806290334189898+0.9746327370742027j),(9.537180111014226e-05+1.158277967689207e-05j)
5.427,(-0.1251427092258906+0.04255317451278528j),(0.1809420959961998+0.9745759375845074j),(9.535123335847087e-05+1.155512981115778e-05j)
5.428,(-0.1251187228623693+0.04259513730807079j),(0.1812551419708572+0.9745190390827476j),(9.533075326940375e-05+1.152750285457019e-05j)
5.429,(-0.1250947088731615+0.04263708516529722j),(0.1815681713133176+0.9744620415723085j),(9.531036067002109e-05+1.149989871176007e-05j)
5.43,(-0.1250706672678882+0.04267901806640669j),(0.1818811839939358+0.9744049450565836j),(9.529005538753187e-05+1.147231728787986e-05j)
5.431,(-0.1250465980561811+0.04272093599334723j),(0.1821941799830635+0.9743477495389736j),(9.526983725014793e-05+1.144475848871354e-05j)
5.432,(-0.1250225012476831+0.04276283892807183j),(0.1825071592510509+0.9742904550228874j),(9.52497060867937e-05+1.141722221962101e-05j)
5.433,(-0.1249983768520477+0.04280472685253921j),(0.1828201217682455+0.9742330615117423j),(9.522966172667005e-05+1.138970838721373e-05j)
5.434,(-0.1249742248789396+0.04284659974871401j),(0.1831330675049936+0.9741755690089628j),(9.520970400027512e-05+1.136221689778896e-05j)
5.435,(-0.1249500453380344+0.04288845759856607j),(0.1834459964316388+0.9741179775179815j),(9.518983273780155e-05+1.133474765805858e-05j)
5.436,(-0.1249258382390184+0.04293030038407047j),(0.1837589085185229+0.9740602870422387j),(9.517004777176201e-05+1.13073005744201e-05j)
5.437,(-0.1249016035915892+0.04297212808720859j),(0.1840718037359857+0.9740024975851835j),(9.515034893319844e-05+1.127987555452495e-05j)
5.438,(-0.1248773414054549+0.04301394068996679j),(0.1843846820543645+0.973944609150272j),(9.513073605635045e-05+1.125247250567443e-05j)
5.439,(-0.1248530516903349+0.04305573817433711j),(0.1846975434439951+0.9738866217409682j),(9.511120897325788e-05+1.122509133573188e-05j)
5.44,(-0.1248287344559592+0.04309752052231743j),(0.1850103878752104+0.9738285353607447j),(9.50917675194529e-05+1.119773195250251e-05j)
5.441,(-0.1248043897120689+0.04313928771591078j),(0.1853232153183429+0.973770350013082j),(9.507241152826814e-05+1.117039426453696e-05j)
5.442,(-0.124780017468416+0.04318103973712626j),(0.1856360257437216+0.9737120657014674j),(9.505314083594717e-05+1.114307817985353e-05j)
5.443,(-0.1247556177347635+0.04322277656797836j),(0.1859488191216737+0.9736536824293973j),(9.50339552785795e-05+1.111578360794714e-05j)
5.444,(-0.1247311905208851+0.04326449819048692j),(0.1862615954225244+0.9735952002003757j),(9.501485469283106e-05+1.108851045719637e-05j)
5.445,(-0.1247067358365654+0.0433062045866778j),(0.1865743546165983+0.9735366190179153j),(9.499583891653003e-05+1.106125863705534e-05j)
5.446,(-0.1246822536916003+0.04334789573858241j),(0.1868870966742153+0.973477938885535j),(9.497690778647402e-05+1.103402805739701e-05j)
5.447,(-0.1246577440957961+0.0433895716282375j),(0.1871998215656958+0.9734191598067631j),(9.495806114311089e-05+1.10068186277088e-05j)
5.448,(-0.1246332070589704+0.04343123223768593j),(0.1875125292613566+0.9733602817851349j),(9.493929882468922e-05+1.097963025804352e-05j)
5.449,(-0.1246086425909513+0.04347287754897574j),(0.1878252197315128+0.9733013048241952j),(9.492062067120812e-05+1.095246285909321e-05j)
5.45,(-0.1245840507015785+0.04351450754416114j),(0.188137892946479+0.9732422289274952j),(9.490202652398016e-05+1.09253163409086e-05j)
5.451,(-0.1245594314007016+0.04355612220530121j),(0.1884505488765651+0.9731830540985943j),(9.488351622284987e-05+1.089819061472929e-05j)
5.452,(-0.1245347846981821+0.04359772151446179j),(0.1887631874920815+0.9731237803410613j),(9.48650896108806e-05+1.087108559130021e-05j)
5.453,(-0.1245101106038917+0.04363930545371338j),(0.1890758087633351+0.973064407658471j),(9.484674653040139e-05+1.084400118226333e-05j)
5.454,(-0.1244854091277133+0.0436808740051326j),(0.1893884126606317+0.973004936054408j),(9.48284868237391e-05+1.081693729905937e-05j)
5.455,(-0.1244606802795407+0.043722427150802j),(0.1897009991542745+0.9729453655324628j),(9.481031033615114e-05+1.078989385329393e-05j)
5.456,(-0.1244359240692784+0.04376396487280954j),(0.1900135682145656+0.9728856960962368j),(9.479221691025537e-05+1.07628707574346e-05j)
5.457,(-0.1244111405068421+0.04380548715324884j),(0.1903261198118038+0.9728259277493363j),(9.477420639262911e-05+1.073586792349142e-05j)
5.458,(-0.1243863296021582+0.04384699397421946j),(0.1906386539162873+0.9727660604953781j),(9.475627862735677e-05+1.070888526382361e-05j)
5.459,(-0.1243614913651639+0.04388848531782663j),(0.1909511704983114+0.9727060943379856j),(9.473843346145819e-05+1.06819226918004e-05j)
5.46,(-0.1243366258058073+0.04392996116618087j),(0.1912636695281696+0.9726460292807905j),(9.472067074180883e-05+1.06549801200404e-05j)
5.461,(-0.1243117329340478+0.04397142150139949j),(0.1915761509761546+0.9725858653274329j),(9.470299031513956e-05+1.062805746195281e-05j)
5.462,(-0.124286812759855+0.04401286630560419j),(0.1918886148125556+0.9725256024815608j),(9.468539203053394e-05+1.060115463089351e-05j)
5.463,(-0.1242618652932098+0.04405429556092356j),(0.1922010610076604+0.9724652407468294j),(9.466787573502265e-05+1.057427154119392e-05j)
5.464,(-0.1242368905441041+0.0440957092494914j),(0.192513489531756+0.9724047801269041j),(9.465044127946064e-05+1.054740810606721e-05j)
5.465,(-0.1242118885225403+0.04413710735344739j),(0.192825900355125+0.9723442206254554j),(9.463308851265074e-05+1.052056424010678e-05j)
5.466,(-0.1241868592385321+0.044178489854937j),(0.1931382934480508+0.9722835622461647j),(9.461581728487036e-05+1.049373985755963e-05j)
5.467,(-0.1241618027021035+0.0442198567361114j),(0.193450668780813+0.9722228049927193j),(9.459862744816834e-05+1.046693487361329e-05j)
5.468,(-0.12413671892329+0.04426120797912794j),(0.1937630263236901+0.9721619488688158j),(9.458151885312906e-05+1.044014920270469e-05j)
5.469,(-0.1241116079121376+0.04430254356614912j),(0.1940753660469591+0.9721009938781582j),(9.456449135240375e-05+1.041338276017509e-05j)
5.47,(-0.1240864696787031+0.04434386347934382j),(0.194387687920894+0.972039940024459j),(9.454754479865156e-05+1.03866354612038e-05j)
5.471,(-0.1240613042330545+0.04438516770088643j),(0.1946999919157676+0.9719787873114389j),(9.45306790439504e-05+1.035990722191262e-05j)
5.472,(-0.1240361115852703+0.04442645621295718j),(0.1950122780018511+0.9719175357428265j),(9.451389394465804e-05+1.033319795752522e-05j)
5.473,(-0.1240108917454402+0.0444677289977423j),(0.1953245461494127+0.9718561853223578j),(9.44971893536072e-05+1.030650758465052e-05j)
5.474,(-0.1239856447236646+0.044508986037434j),(0.1956367963287205+0.9717947360537776j),(9.448056512584977e-05+1.027983601925736e-05j)
5.475,(-0.1239603705300547+0.04455022731422974j),(0.1959490285100386+0.9717331879408391j),(9.446402111762743e-05+1.025318317770575e-05j)
5.476,(-0.1239350691747326+0.04459145281033337j),(0.1962612426636312+0.9716715409873032j),(9.444755718460366e-05+1.022654897704255e-05j)
5.477,(-0.1239097406678312+0.04463266250795442j),(0.1965734387597597+0.9716097951969389j),(9.4431173183928e-05+1.019993333433825e-05j)
5.478,(-0.1238843850194944+0.04467385638930813j),(0.196885616768683+0.9715479505735232j),(9.441486897320524e-05+1.017333616635505e-05j)
5.479,(-0.1238590022398769+0.04471503443661606j),(0.1971977766606599+0.9714860071208411j),(9.439864440931493e-05+1.014675739105951e-05j)
5.48,(-0.1238335923391441+0.04475619663210533j),(0.1975099184059461+0.9714239648426864j),(9.438249935210188e-05+1.012019692529833e-05j)
5.481,(-0.1238081553274725+0.04479734295800886j),(0.1978220419747954+0.9713618237428605j),(9.436643365891516e-05+1.00936546877511e-05j)
5.482,(-0.1237826912150493+0.04483847339656583j),(0.1981341473374601+0.9712995838251726j),(9.435044719051433e-05+1.006713059605149e-05j)
5.483,(-0.1237572000120723+0.04487958793002087j),(0.1984462344641909+0.9712372450934412j),(9.433453980678847e-05+1.004062456863331e-05j)
5.484,(-0.1237316817287506+0.04492068654062487j),(0.1987583033252363+0.9711748075514914j),(9.431871136838077e-05+1.00141365241032e-05j)
5.485,(-0.1237061363753041+0.04496176921063466j),(0.1990703538908427+0.9711122712031574j),(9.430296173742895e-05+9.987666379946972e-06j)
5.486,(-0.1236805639619629+0.04500283592231268j),(0.1993823861312561+0.9710496360522824j),(9.428729077357396e-05+9.961214056817581e-06j)
5.487,(-0.1236549644989689+0.0450438866579278j),(0.199694400016719+0.9709869021027151j),(9.42716983407618e-05+9.934779473175941e-06j)
5.488,(-0.123629337996574+0.04508492139975426j),(0.2000063955174733+0.9709240693583153j),(9.425618430103391e-05+9.90836254846996e-06j)
5.489,(-0.1236036844650412+0.04512594013007254j),(0.2003183726037581+0.9708611378229494j),(9.424074851926162e-05+9.881963201729333e-06j)
5.49,(-0.1235780039146447+0.04516694283116936j),(0.2006303312458117+0.9707981075004916j),(9.422539085722694e-05+9.855581353194039e-06j)
5.491,(-0.1235522963556689+0.04520792948533679j),(0.2009422714138695+0.9707349783948257j),(9.421011118117223e-05+9.82921692298257e-06j)
5.492,(-0.1235265617984095+0.04524890007487345j),(0.2012541930781666+0.9706717505098422j),(9.419490935617613e-05+9.802869830536382e-06j)
5.493,(-0.1235008002531728+0.04528985458208361j),(0.2015660962089349+0.9706084238494408j),(9.417978524600397e-05+9.776539997323606e-06j)
5.494,(-0.123475011730276+0.04533079298927751j),(0.2018779807764049+0.9705449984175287j),(9.416473871814586e-05+9.750227343172584e-06j)
5.495,(-0.1234491962400471+0.04537171527877182j),(0.2021898467508066+0.9704814742180227j),(9.414976963981822e-05+9.723931788679328e-06j)
5.496,(-0.1234233537928248+0.04541262143288857j),(0.2025016941023662+0.9704178512548454j),(9.41348778763319e-05+9.697653255616575e-06j)
5.497,(-0.1233974843989588+0.04545351143395607j),(0.2028135228013093+0.9703541295319298j),(9.412006329717223e-05+9.671391664301526e-06j)
5.498,(-0.1233715880688096+0.04549438526430915j),(0.2031253328178597+0.9702903090532156j),(9.410532576917838e-05+9.645146937267283e-06j)
5.499,(-0.1233456648127482+0.04553524290628765j),(0.2034371241222396+0.9702263898226516j),(9.409066516158642e-05+9.61891899533166e-06j)
5.5,(-0.1233197146411568+0.0455760843422384j),(0.2037488966846693+0.9701623718441952j),(9.407608134395424e-05+9.592707760193516e-06j)
5.501,(-0.1232937375644284+0.04561690955451379j),(0.2040606504753665+0.97009825512181j),(9.406157418527035e-05+9.566513154433964e-06j)
5.502,(-0.1232677335929663+0.04565771852547224j),(0.2043723854645485+0.9700340396594702j),(9.404714355677607e-05+9.540335099474504e-06j)
5.503,(-0.1232417027371853+0.04569851123747866j),(0.2046841016224304+0.9699697254611571j),(9.403278932855056e-05+9.514173518882315e-06j)
5.504,(-0.1232156450075103+0.04573928767290319j),(0.2049957989192251+0.96990531253086j),(9.401851137173873e-05+9.488028334173425e-06j)
5.505,(-0.1231895604143775+0.04578004781412295j),(0.2053074773251443+0.969840800872577j),(9.40043095594453e-05+9.461899468490161e-06j)
5.506,(-0.1231634489682337+0.04582079164352059j),(0.2056191368103984+0.9697761904903142j),(9.399018376242354e-05+9.435786844967409e-06j)
5.507,(-0.1231373106795365+0.04586151914348483j),(0.2059307773451949+0.9697114813880863j),(9.397613385383318e-05+9.409690386620728e-06j)
5.508,(-0.1231111455587544+0.04590223029641101j),(0.2062423988997405+0.9696466735699151j),(9.396215970805323e-05+9.383610016867138e-06j)
5.509,(-0.1230849536163665+0.0459429250846999j),(0.20655400144424+0.9695817670398317j),(9.394826119785488e-05+9.357545659153561e-06j)
5.51,(-0.1230587348628627+0.0459836034907589j),(0.2068655849488965+0.9695167618018756j),(9.393443819797336e-05+9.33149723762681e-06j)
5.511,(-0.123032489308744+0.04602426549700114j),(0.2071771493839107+0.9694516578600941j),(9.39206905828759e-05+9.305464675645045e-06j)
5.512,(-0.1230062169645216+0.04606491108584605j),(0.207488694719484+0.9693864552185427j),(9.390701822795388e-05+9.279447897713574e-06j)
5.513,(-0.122979917840718+0.04610554023971913j),(0.2078002209258132+0.9693211538812855j),(9.389342100967252e-05+9.253446828368608e-06j)
5.514,(-0.1229535919478664+0.04614615294105236j),(0.2081117279730944+0.9692557538523939j),(9.387989880393265e-05+9.227461391506454e-06j)
5.515,(-0.1229272392965103+0.0461867491722831j),(0.2084232158315234+0.969190255135949j),(9.386645148666653e-05+9.20149151254492e-06j)
5.516,(-0.1229008598972047+0.04622732891585574j),(0.2087346844712927+0.9691246577360401j),(9.385307893667177e-05+9.175537115628315e-06j)
5.517,(-0.1228744537605148+0.04626789215422022j),(0.209046133862593+0.9690589616567629j),(9.383978103024388e-05+9.149598126647449e-06j)
5.518,(-0.1228480208970167+0.04630843886983268j),(0.209357563975615+0.9689931669022238j),(9.382655764729198e-05+9.123674469958166e-06j)
5.519,(-0.1228215613172973+0.04634896904515581j),(0.2096689747805466+0.9689272734765357j),(9.381340866537212e-05+9.097766071328023e-06j)
5.52,(-0.1227950750319546+0.04638948266265836j),(0.2099803662475739+0.9688612813838208j),(9.380033396386526e-05+9.07187285681802e-06j)
5.521,(-0.1227685620515966+0.04642997970481497j),(0.2102917383468825+0.9687951906282095j),(9.378733342263541e-05+9.045994751326555e-06j)
5.522,(-0.1227420223868427+0.0464704601541067j),(0.2106030910486552+0.9687290012138403j),(9.377440692232914e-05+9.020131681800362e-06j)
5.523,(-0.1227154560483226+0.04651092399302051j),(0.2109144243230732+0.9686627131448595j),(9.37615543425829e-05+8.994283573687619e-06j)
5.524,(-0.1226888630466774+0.04655137120405033j),(0.2112257381403166+0.9685963264254229j),(9.374877556501198e-05+8.968450353813706e-06j)
5.525,(-0.1226622433925583+0.04659180176969567j),(0.2115370324705641+0.9685298410596936j),(9.373607047141825e-05+8.942631948177293e-06j)
5.526,(-0.1226355970966274+0.04663221567246228j),(0.2118483072839923+0.9684632570518437j),(9.372343894438924e-05+8.91682828374428e-06j)
5.527,(-0.1226089241695578+0.04667261289486238j),(0.2121595625507767+0.968396574406053j),(9.371088086505412e-05+8.891039287813239e-06j)
5.528,(-0.122582224622033+0.04671299341941416j),(0.2124707982410901+0.96832979312651j),(9.369839611742262e-05+8.865264886780796e-06j)
5.529,(-0.1225554984647474+0.04675335722864229j),(0.2127820143251047+0.9682629132174115j),(9.368598458479565e-05+8.83950500775001e-06j)
5.53,(-0.1225287457084062+0.04679370430507765j),(0.2130932107729909+0.9681959346829624j),(9.367364615111212e-05+8.813759578793384e-06j)
5.531,(-0.1225019663637254+0.04683403463125733j),(0.2134043875549178+0.9681288575273769j),(9.366138070035055e-05+8.788028526819419e-06j)
5.532,(-0.1224751604414313+0.04687434818972476j),(0.2137155446410523+0.9680616817548763j),(9.364918811847715e-05+8.762311779931027e-06j)
5.533,(-0.1224483279522614+0.04691464496302936j),(0.2140266820015598+0.9679944073696906j),(9.36370682888018e-05+8.736609266453097e-06j)
5.534,(-0.1224214689069638+0.04695492493372735j),(0.214337799606605+0.9679270343760588j),(9.362502109947115e-05+8.710920913133142e-06j)
5.535,(-0.122394583316297+0.04699518808438072j),(0.2146488974263499+0.9678595627782278j),(9.36130464356766e-05+8.685246649376381e-06j)
5.536,(-0.1223676711910307+0.04703543439755788j),(0.2149599754309552+0.9677919925804522j),(9.360114418370027e-05+8.659586403161106e-06j)
5.537,(-0.122340732541945+0.04707566385583389j),(0.215271033590581+0.9677243237869962j),(9.358931423136726e-05+8.633940103512745e-06j)
5.538,(-0.122313767379831+0.04711587644178975j),(0.2155820718753849+0.967656556402132j),(9.357755646639604e-05+8.608307677990998e-06j)
5.539,(-0.1222867757154901+0.04715607213801288j),(0.2158930902555227+0.9675886904301394j),(9.356587077519743e-05+8.582689057267496e-06j)
5.54,(-0.1222597575597348+0.04719625092709715j),(0.2162040887011494+0.9675207258753072j),(9.355425704857988e-05+8.557084168746535e-06j)
5.541,(-0.1222327129233881+0.04723641279164248j),(0.2165150671824187+0.9674526627419333j),(9.354271517409367e-05+8.531492942570369e-06j)
5.542,(-0.1222056418172836+0.04727655771425523j),(0.2168260256694818+0.9673845010343224j),(9.353124504083509e-05+8.505915308316615e-06j)
5.543,(-0.122178544252266+0.0473166856775483j),(0.2171369641324888+0.9673162407567891j),(9.351984654004992e-05+8.480351194847043e-06j)
5.544,(-0.1221514202391902+0.04735679666414081j),(0.2174478825415891+0.9672478819136553j),(9.350851956032491e-05+8.454800532487148e-06j)
5.545,(-0.1221242697889224+0.04739689065665827j),(0.2177587808669288+0.967179424509252j),(9.349726399390073e-05+8.429263250734044e-06j)
5.546,(-0.1220970929123387+0.04743696763773244j),(0.2180696590786542+0.967110868547918j),(9.348607973080989e-05+8.403739279835376e-06j)
5.547,(-0.1220698896203266+0.04747702759000151j),(0.2183805171469092+0.967042214034001j),(9.347496666338815e-05+8.378228550037614e-06j)
5.548,(-0.1220426599237839+0.0475170704961102j),(0.218691355041837+0.9669734609718575j),(9.346392468266492e-05+8.352730991812009e-06j)
5.549,(-0.1220154038336193+0.04755709633870928j),(0.2190021727335777+0.9669046093658511j),(9.345295368227647e-05+8.32724653536529e-06j)
5.55,(-0.121988121360752+0.04759710510045632j),(0.2193129701922713+0.966835659220355j),(9.344205355440287e-05+8.30177511173152e-06j)
5.551,(-0.121960812516112+0.04763709676401495j),(0.2196237473880573+0.9667666105397504j),(9.343122419217607e-05+8.276316651680727e-06j)
5.552,(-0.12193347731064+0.04767707131205548j),(0.21993450429107+0.9666974633284267j),(9.342046549013405e-05+8.250871085793838e-06j)
5.553,(-0.1219061157552873+0.04771702872725452j),(0.2202452408714472+0.9666282175907827j),(9.340977734196091e-05+8.225438345819344e-06j)
5.554,(-0.1218787278610157+0.04775696899229506j),(0.2205559570993206+0.9665588733312241j),(9.339915964184294e-05+8.200018362978308e-06j)
5.555,(-0.1218513136387981+0.0477968920898665j),(0.2208666529448235+0.9664894305541666j),(9.338861228522357e-05+8.174611068227518e-06j)
5.556,(-0.1218238730996178+0.04783679800266477j),(0.2211773283780862+0.9664198892640333j),(9.337813516729626e-05+8.149216393617195e-06j)
5.557,(-0.1217964062544687+0.04787668671339225j),(0.2214879833692387+0.9663502494652557j),(9.336772818496617e-05+8.12383427100946e-06j)
5.558,(-0.1217689131143554+0.0479165582047576j),(0.2217986178884089+0.9662805111622749j),(9.335739123262516e-05+8.098464632266976e-06j)
5.559,(-0.1217413936902933+0.04795641245947622j),(0.2221092319057228+0.9662106743595392j),(9.334712420864211e-05+8.073107409365844e-06j)
5.56,(-0.1217138479933084+0.04799624946026964j),(0.2224198253913058+0.966140739061506j),(9.333692700887276e-05+8.047762534660451e-06j)
5.561,(-0.1216862760344372+0.04803606918986616j),(0.222730398315282+0.9660707052726409j),(9.332679953209605e-05+8.022429940128118e-06j)
5.562,(-0.121658677824727+0.0480758716310004j),(0.2230409506477721+0.9660005729974181j),(9.33167416748789e-05+7.997109559031513e-06j)
5.563,(-0.1216310533752359+0.04811565676641354j),(0.2233514823588982+0.9659303422403206j),(9.330675333686507e-05+7.971801323387614e-06j)
5.564,(-0.1216034026970321+0.0481554245788533j),(0.2236619934187798+0.9658600130058389j),(9.329683441609093e-05+7.946505166083506e-06j)
5.565,(-0.1215757258011952+0.04819517505107364j),(0.2239724837975341+0.9657895852984729j),(9.328698481216021e-05+7.921221020347953e-06j)
5.566,(-0.1215480226988148+0.04823490816583527j),(0.2242829534652785+0.9657190591227311j),(9.327720442382479e-05+7.895948819676312e-06j)
5.567,(-0.1215202934009914+0.04827462390590535j),(0.2245934023921272+0.9656484344831298j),(9.326749315110274e-05+7.870688496468383e-06j)
5.568,(-0.1214925379188362+0.04831432225405766j),(0.2249038305481943+0.9655777113841932j),(9.325785089573442e-05+7.845439984979479e-06j)
5.569,(-0.1214647562634708+0.04835400319307227j),(0.2252142379035929+0.9655068898304566j),(9.324827755739823e-05+7.820203217915299e-06j)
5.57,(-0.1214369484460277+0.04839366670573608j),(0.2255246244284329+0.9654359698264606j),(9.323877303764687e-05+7.794978129535394e-06j)
5.571,(-0.1214091144776498+0.04843331277484215j),(0.2258349900928243+0.9653649513767565j),(9.322933723748506e-05+7.769764653950531e-06j)
5.572,(-0.1213812543694907+0.04847294138319052j),(0.2261453348668759+0.9652938344859032j),(9.321997005949123e-05+7.744562724402258e-06j)
5.573,(-0.1213533681327148+0.04851255251358738j),(0.2264556587206939+0.9652226191584685j),(9.321067140660636e-05+7.719372275498353e-06j)
5.574,(-0.1213254557784968+0.04855214614884583j),(0.2267659616243839+0.9651513053990282j),(9.320144118046621e-05+7.69419324109131e-06j)
5.575,(-0.1212975173180222+0.04859172227178551j),(0.22707624354805+0.9650798932121671j),(9.319227928443378e-05+7.6690255559081e-06j)
5.576,(-0.121269552762487+0.04863128086523222j),(0.2273865044617955+0.9650083826024781j),(9.31831856226913e-05+7.643869155134113e-06j)
5.577,(-0.1212415621230982+0.04867082191201903j),(0.2276967443357209+0.9649367735745634j),(9.317416009902652e-05+7.618723972364278e-06j)
5.578,(-0.1212135454110727+0.04871034539498483j),(0.2280069631399274+0.9648650661330324j),(9.316520261743985e-05+7.593589942865742e-06j)
5.579,(-0.1211855026376385+0.04874985129697564j),(0.2283171608445127+0.9647932602825045j),(9.315631308290404e-05+7.568467001491525e-06j)
